2015-07-13 17:56:22 	 CRITICAL 		 e-------------Live:

2015-07-13 17:56:45 	 CRITICAL 		 s-------------Live:

2015-07-13 17:56:46 	 ERROR 		 GsmInit ERROR

2015-07-13 17:56:46 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:56:46 	 CRITICAL 		 e-------------Live:

2015-07-13 17:57:09 	 CRITICAL 		 s-------------Live:

2015-07-13 17:57:10 	 ERROR 		 GsmInit ERROR

2015-07-13 17:57:10 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:57:10 	 CRITICAL 		 e-------------Live:

2015-07-13 17:57:33 	 CRITICAL 		 s-------------Live:

2015-07-13 17:57:34 	 ERROR 		 GsmInit ERROR

2015-07-13 17:57:34 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:57:34 	 CRITICAL 		 e-------------Live:

2015-07-13 17:57:57 	 CRITICAL 		 s-------------Live:

2015-07-13 17:57:58 	 ERROR 		 GsmInit ERROR

2015-07-13 17:57:58 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:57:58 	 CRITICAL 		 e-------------Live:

2015-07-13 17:58:20 	 CRITICAL 		 s-------------Live:

2015-07-13 17:58:21 	 ERROR 		 GsmInit ERROR

2015-07-13 17:58:21 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:58:21 	 CRITICAL 		 e-------------Live:

2015-07-13 17:58:44 	 CRITICAL 		 s-------------Live:

2015-07-13 17:58:45 	 ERROR 		 GsmInit ERROR

2015-07-13 17:58:45 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:58:45 	 CRITICAL 		 e-------------Live:

2015-07-13 17:59:08 	 CRITICAL 		 s-------------Live:

2015-07-13 17:59:09 	 ERROR 		 GsmInit ERROR

2015-07-13 17:59:09 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:59:09 	 CRITICAL 		 e-------------Live:

2015-07-13 17:59:32 	 CRITICAL 		 s-------------Live:

2015-07-13 17:59:33 	 ERROR 		 GsmInit ERROR

2015-07-13 17:59:33 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:59:33 	 CRITICAL 		 e-------------Live:

2015-07-13 17:59:56 	 CRITICAL 		 s-------------Live:

2015-07-13 17:59:57 	 ERROR 		 GsmInit ERROR

2015-07-13 17:59:57 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 17:59:57 	 CRITICAL 		 e-------------Live:

2015-07-13 18:00:21 	 CRITICAL 		 s-------------Live:

2015-07-13 18:00:22 	 ERROR 		 GsmInit ERROR

2015-07-13 18:00:22 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:00:22 	 CRITICAL 		 e-------------Live:

2015-07-13 18:00:45 	 CRITICAL 		 s-------------Live:

2015-07-13 18:00:46 	 ERROR 		 GsmInit ERROR

2015-07-13 18:00:46 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:00:46 	 CRITICAL 		 e-------------Live:

2015-07-13 18:01:09 	 CRITICAL 		 s-------------Live:

2015-07-13 18:01:10 	 ERROR 		 GsmInit ERROR

2015-07-13 18:01:10 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:01:10 	 CRITICAL 		 e-------------Live:

2015-07-13 18:01:33 	 CRITICAL 		 s-------------Live:

2015-07-13 18:01:34 	 ERROR 		 GsmInit ERROR

2015-07-13 18:01:34 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:01:34 	 CRITICAL 		 e-------------Live:

2015-07-13 18:01:57 	 CRITICAL 		 s-------------Live:

2015-07-13 18:01:58 	 ERROR 		 GsmInit ERROR

2015-07-13 18:01:58 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:01:59 	 CRITICAL 		 e-------------Live:

2015-07-13 18:02:22 	 CRITICAL 		 s-------------Live:

2015-07-13 18:02:23 	 ERROR 		 GsmInit ERROR

2015-07-13 18:02:23 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:02:23 	 CRITICAL 		 e-------------Live:

2015-07-13 18:02:46 	 CRITICAL 		 s-------------Live:

2015-07-13 18:02:47 	 ERROR 		 GsmInit ERROR

2015-07-13 18:02:47 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:02:47 	 CRITICAL 		 e-------------Live:

2015-07-13 18:03:10 	 CRITICAL 		 s-------------Live:

2015-07-13 18:03:11 	 ERROR 		 GsmInit ERROR

2015-07-13 18:03:11 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:03:11 	 CRITICAL 		 e-------------Live:

2015-07-13 18:03:35 	 CRITICAL 		 s-------------Live:

2015-07-13 18:03:36 	 ERROR 		 GsmInit ERROR

2015-07-13 18:03:36 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:03:36 	 CRITICAL 		 e-------------Live:

2015-07-13 18:03:59 	 CRITICAL 		 s-------------Live:

2015-07-13 18:04:00 	 ERROR 		 GsmInit ERROR

2015-07-13 18:04:00 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:04:00 	 CRITICAL 		 e-------------Live:

2015-07-13 18:04:23 	 CRITICAL 		 s-------------Live:

2015-07-13 18:04:24 	 ERROR 		 GsmInit ERROR

2015-07-13 18:04:24 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:04:24 	 CRITICAL 		 e-------------Live:

2015-07-13 18:04:48 	 CRITICAL 		 s-------------Live:

2015-07-13 18:04:49 	 ERROR 		 GsmInit ERROR

2015-07-13 18:04:49 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:04:49 	 CRITICAL 		 e-------------Live:

2015-07-13 18:05:12 	 CRITICAL 		 s-------------Live:

2015-07-13 18:05:13 	 ERROR 		 GsmInit ERROR

2015-07-13 18:05:13 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:05:13 	 CRITICAL 		 e-------------Live:

2015-07-13 18:05:36 	 CRITICAL 		 s-------------Live:

2015-07-13 18:05:37 	 ERROR 		 GsmInit ERROR

2015-07-13 18:05:37 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:05:37 	 CRITICAL 		 e-------------Live:

2015-07-13 18:06:01 	 CRITICAL 		 s-------------Live:

2015-07-13 18:06:02 	 ERROR 		 GsmInit ERROR

2015-07-13 18:06:02 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:06:02 	 CRITICAL 		 e-------------Live:

2015-07-13 18:06:25 	 CRITICAL 		 s-------------Live:

2015-07-13 18:06:26 	 ERROR 		 GsmInit ERROR

2015-07-13 18:06:26 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:06:26 	 CRITICAL 		 e-------------Live:

2015-07-13 18:06:50 	 CRITICAL 		 s-------------Live:

2015-07-13 18:06:51 	 ERROR 		 GsmInit ERROR

2015-07-13 18:06:51 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:06:51 	 CRITICAL 		 e-------------Live:

2015-07-13 18:07:14 	 CRITICAL 		 s-------------Live:

2015-07-13 18:07:15 	 ERROR 		 GsmInit ERROR

2015-07-13 18:07:15 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:07:15 	 CRITICAL 		 e-------------Live:

2015-07-13 18:07:39 	 CRITICAL 		 s-------------Live:

2015-07-13 18:07:40 	 ERROR 		 GsmInit ERROR

2015-07-13 18:07:40 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:07:40 	 CRITICAL 		 e-------------Live:

2015-07-13 18:08:03 	 CRITICAL 		 s-------------Live:

2015-07-13 18:08:04 	 ERROR 		 GsmInit ERROR

2015-07-13 18:08:04 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:08:05 	 CRITICAL 		 e-------------Live:

2015-07-13 18:08:28 	 CRITICAL 		 s-------------Live:

2015-07-13 18:08:29 	 ERROR 		 GsmInit ERROR

2015-07-13 18:08:29 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:08:29 	 CRITICAL 		 e-------------Live:

2015-07-13 18:08:53 	 CRITICAL 		 s-------------Live:

2015-07-13 18:08:54 	 ERROR 		 GsmInit ERROR

2015-07-13 18:08:54 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:08:54 	 CRITICAL 		 e-------------Live:

2015-07-13 18:09:17 	 CRITICAL 		 s-------------Live:

2015-07-13 18:09:18 	 ERROR 		 GsmInit ERROR

2015-07-13 18:09:18 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:09:18 	 CRITICAL 		 e-------------Live:

2015-07-13 18:09:42 	 CRITICAL 		 s-------------Live:

2015-07-13 18:09:43 	 ERROR 		 GsmInit ERROR

2015-07-13 18:09:43 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:09:43 	 CRITICAL 		 e-------------Live:

2015-07-13 18:10:07 	 CRITICAL 		 s-------------Live:

2015-07-13 18:10:08 	 ERROR 		 GsmInit ERROR

2015-07-13 18:10:08 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:10:08 	 CRITICAL 		 e-------------Live:

2015-07-13 18:10:32 	 CRITICAL 		 s-------------Live:

2015-07-13 18:10:33 	 ERROR 		 GsmInit ERROR

2015-07-13 18:10:33 	 ERROR 		 LIVE : DATA SENDING FAILED

2015-07-13 18:10:33 	 CRITICAL 		 e-------------Live:

2015-07-13 18:10:56 	 CRITICAL 		 s-------------Live:

2015-07-13 18:10:57 	 ERROR 		 GsmInit ERROR

2015-07-13 18:10:57 	 ERROR 		 LIVE : DATA SENDING FAILED

